abstract,authors,n_citation,references,title,venue,year,id
"Pattern mining algorithms are often much easier applied than quantitatively assessed. In this paper we address the pattern evaluation problem by looking at both the capability of models and the difficulty of target concepts. We use four different data mining models: frequent itemset mining, k-means clustering, hidden Markov model, and hierarchical hidden Markov model to mine 39 concept streams from the a 137-video broadcast news collection from TRECVID-2005. We hypothesize that the discovered patterns can reveal semantics beyond the input space, and thus evaluate the patterns against a much larger concept space containing 192 concepts defined by LSCOM. Results show that HHMM has the best average prediction among all models, however different models seem to excel in different concepts depending on the concept prior and the ontological relationship. Results also show that the majority of the target concepts are better predicted with temporal or combination hypotheses, and there are novel concepts found that are not part of the original lexicon. This paper presents the first effort on temporal pattern mining in the large concept space. There are many promising directions to use concept mining to help construct better concept detectors or to guide the design of multimedia ontology.","['Lexing Xie', 'Shih-Fu Chang']",17,"['42633d59-7cea-4ef4-89cf-41a289279925', '46242d38-c986-430d-ae17-81369cfa6c8d']",Pattern Mining in Visual Concept Streams,international conference on multimedia and expo,2006,4ac6a18b-ff51-4a80-9e36-c79050129ec6
"Service compositions need to continuously self- adapt to cope with unexpected failures. In this context adaptation becomes a fundamental requirement that must be elicited along with the other functional and non functional requirements. Beside modelling, effective adaptation also demands means to trigger it at runtime as soon as the actual behavior of the composition deviates from stated requirements. This paper extends traditional goal models with adaptive goals to support continuous adaptation. Goals become live, runtime entities whose satisfaction level is dynamically updated. Furthermore, boundary infringement triggers adaptation capabilities. The paper also provides a methodology to trace goals onto the underlying composition, assess goals satisfaction at runtime, and activate adaptation consequently. All the key elements are demonstrated on the definition of the process to control an advanced washing machine.","['Luciano Baresi', 'Liliana Pasquale']",38,"['072b8e07-4172-4757-bb1d-ca899647e283', '0b0930c2-b311-46ab-9a24-53b290907c8a', '202a0106-ad0d-413b-bdb2-5d39de513003', '435ca080-ce9e-4f88-8e53-9c87578a7cab', '62573d4e-f8d5-4682-888c-d3717998e013', '65acba26-3449-48c8-ac84-83465430d11b', '69220232-821f-4e21-8d99-3decfb2f9da6', '80b78517-d8ec-4ce0-a113-ca2c3fb93b02', '9b1c5228-5c70-474d-ae3e-0a110d7e236a', 'c0b4ac1c-9ad0-4178-ace9-3d9b93b9b0fb', 'd18d8bdb-a283-4794-ab86-9d243b4c1448', 'de78a95b-3979-4bda-8f29-226d75bffbfa', 'e6420626-dd31-4e33-ab3e-7781aeb3673a', 'ebedb671-a710-4534-aaca-60bd9bb0db21', 'f88beacd-4e64-4174-bfe8-8249902f6983']",Adaptive Goals for Self-Adaptive Service Compositions,international conference on web services,2010,4ac6a708-9918-4ef0-87af-3590a5699afe
"There is a growing consensus that a portfolio of customers with different demand lead times can lead to higher, more regular revenues and better capacity utilization. Customers with positive demand lead times place orders in advance of their needs, resulting inadvance demand information. This gives rise to the problem of finding effective inventory control policies under advance demand information. We show that state-dependent ( s, S) and base-stock policies are optimal for stochastic inventory systems with and without fixed costs. The state of the system reflects our knowledge of advance demand information. We also determine conditions under which advance demand information has no operational value. A numerical study allows us to obtain additional insights and to evaluate strategies to induce advance demand information.","['Guillermo Gallego', 'Özalp Özer']",305,"['1add6785-bdfc-4268-8f13-69d9e0bbd922', '4d061f0b-5b6b-46ad-b297-7a101c122d98', '4e2b47a8-b682-4dd8-8d7d-7f48520921cd', '89be5050-094a-4760-b1db-4b62673b0c4b', 'c8caf546-bcd1-46c8-8e87-4c0c7662c820', 'd8c4aa0c-6b35-40af-90bf-83a42bd20130']",Integrating Replenishment Decisions with Advance Demand Information,Management Science,2001,4ac6aa7a-bdc5-4bc4-bdac-3120a7499717
,"['Jing Wang', 'Bingqiang Wang', 'Xiaohui Zhang', 'YunZhi Zhu']",0,"['1373619c-b7a3-4262-8930-b303b468e3a5', '5f1381bd-a165-4c63-bb2e-b6e457cc6067', '6568a79f-1aed-495e-ab95-d301bc336450', '8a01fd18-71fe-4e18-9e3a-0f86bf1d4417', 'b1df0177-5177-4bee-a855-7c79b32f57d7', 'b7559e2f-6d91-4a9f-bec8-67445c531aa8']",An Adaptive Fair Sampling Algorithm Based on the Reconfigurable Counter Arrays,testbeds and research infrastructures for the development of networks and communities,2014,4ac6aaee-4dc5-4f5e-b33d-20babadd18ed
"Digital magnetic and optical storage systems employing NRZI recording use (d, k) codes. The d-parameter specifies the minimum number of 0's occurring between 1's while the k-parameter specifies the maximum number of 0's between l's. The n-track (d,k) codes (denoted as (d,k;n) codes) are extensions of (d, k) codes for use in multiple-track systems. Instead of imposing each track to individually satisfy both constraints, (d,k;n) codes satisfy the d-constraint in each track individually while relaxing the k-constraint by allowing it to be satisfied jointly by the multiple tracks. Although (d,k;n) codes can provide significant capacity increases over (d, k) codes, they suffer from the fact that a single faulty track can cause loss of synchronization and hence, loss of the data on all tracks. Orcutt and Marcellin (see IEEE Trans. on Inform. Theory, Sept., 1993) introduced n-track (d,k) codes with a redundancy of r (denoted as (d,k;n,r) codes) which allow for r faulty tracks by mandating that all subsets of n-r tracks satisfy the joint k-constraint. We propose a new method to construct (d,k; n, r) codes. These codes have simple encoding and decoding schemes, gain a large part of the capacity increase possible when using (d,k; n,r) codes, and are considerably more robust to faulty tracks. >","['Ligang Ke', 'Michael W. Marcellin']",50,"['0a8ef3c8-ab79-4f07-8904-2ac4d2707f5e', '63c57235-e421-4d03-b4dd-ed8761869696', '93f3d6f6-9439-432d-92d8-0dafb4abeb81']","A new construction for n-track (d, k) codes with redundancy",international symposium on information theory,1994,4ac6d101-7652-4729-8e60-ac40af993e59
"De novo design systems provide powerful methods to suggest a set of novel structures with high estimated binding affinity. One deficiency of these methods is that some of the suggested structures could be synthesized only with great difficulty. We devised a scoring method that rapidly evaluates synthetic accessibility of structures based on structural complexity, similarity to available starting materials and assessment of strategic bonds where a structure can be decomposed to obtain simpler fragments. These individual components were combined to an overall score of synthetic accessibility by an additive scheme. The weights of the scoring function components were calculated by linear regression analysis based on accessibility scores derived from medicinal chemists. The calculated values for synthetic accessibility agree with the values proposed by chemists to an extent that compares well with how chemists agree with each other.","['Krisztina Boda', 'Thomas Seidel', 'Johann Gasteiger']",108,"['03cd609f-a06e-4f6d-95ba-9ce0327a9597', '191dcafb-dce1-4b27-add9-ae8ca5a1e1a1', '29c9d418-35f0-4c98-bb02-65864089b169', '35e20b91-7d42-4965-9069-4f6de9f1044a', '3de9ce38-c576-4a49-bae0-6d9d92047bba', '78fc6f3e-50bf-4add-a248-73cf4c2c268a', 'a14cda35-1d44-4b9f-8b57-e921e56fc48b']",Structure and reaction based evaluation of synthetic accessibility,Journal of Computer-aided Molecular Design,2007,4ac6d144-23f9-4ea1-9b59-0628d6b06a45
"The market of metro optical networking has increased rapidly over the last few years. Traditional telecommunication infrastructure has an emphasis on long-haul optical transmission with ultra broadband capacity, relying mostly on large pure Dense Wavelength Division Multiplexing (DWDM) systems. Today, however, metro core optical networks take the major role in provisioning local access services and interconnecting service points of presences (POPs) with long-haul transmission. This represents a pivotal point in business operations of data communication services for service providers and large enterprises. In addition, the upper layer data services completely leans upon the substrate wavelength communication, and hence the survivability and reliability issues in the optical domain are now becoming crucial topics. This paper provides a detailed discussion around the development process of protection technologies in metro core optical transport infrastructure.",['Sheng Chen'],4,"['183c7919-44c4-41d3-a300-ffeb7e39c0ed', '1b5e9a6a-6a4c-4568-a846-56513352ee13']",Evolution of Protection Technologies in Metro Core Optical Networks,international conference on networking and services,2006,4ac6d15d-8276-4a82-b35e-fd1e5ec4ba42
Progress is reported in the design and analysis of spread-spectrum packet radio networks for the factory of the future. This progress includes the accurate analysis of the probability of packet success in a direct-sequence spread-spectrum communication channel and analytical results on the transient behavior of packet radio networks. The first use of these networks will be to provide communications between a transport system controller and a fleet of autonomous guided vehicles. >,"['Edward J. Coyle', 'James S. Lehnert']",0,"['6e2dc639-09e0-4ab9-a8f1-eb58fb6da570', 'f8f9a969-39c3-4ba4-9209-ae2a204c625e']",Packet radio and the factory of the future,international conference on computer communications,1989,4ac717d4-d5bc-4b54-9f5e-a960941f8ad4
"The FACTOR system is designed to support the effective management of the capacity of manufacturing organization. This philosophy is best described as total capacity management (TCM). The TCM fundamental principle suggests that through a thorough understanding of a system's capacity and the ability to control that capacity, a manufacturing system can profitably and predictably deliver quality products to its customers. This tutorial covers the basic concepts of FACTOR. FACTOR has been applied to engineering, design, scheduling and planning problems within many manufacturing organizations. Topics covered include: the FACTOR modeling constructs, integration with existing production data, the use of FACTOR for schedule creation and adjustment, FACTOR/AIM, and new enhancements to the products.",['William R. Lilegdon'],2,[],Manufacturing decision making with FACTOR,winter simulation conference,1993,4ac71dd3-d0b0-4119-8ae3-cc8cdb4c2d3f
"There is considerable evidence that using technology as an instructional tool improves student learning and educational outcomes (Hanna & de Nooy, 2003). In developing countries, pre-university education focuses on memorization, although meting the mission of AUST requires students to manage technology and to think more independently. This study examines the impact of incorporating a discussion forum on the achievement of university students enrolled in a Distance Education course, Educational Technology Department at Ajman University of Science and Technology (AUST), United Arab Emirates. The study was conducted with 34 students divided into two sections, one a treatment group and one a control group. Both sections were exposed to the same teaching techniques covering the same course material on Distance Education. Four weeks after the course had commenced they were given the same teacher constructed test. However, after the first test, the treated group was exposed to the use of a World Wide Web (WWW) interactive discussion forum. At the end of the semester-long treatment period, a final test was given to both groups, and student scores were analyzed for any statistically significant difference. Questionnaires and interviews were also conducted to see if students had enjoyed the experience. The results of the study indicated that students in both groups showed learning improvement over the course of one semester, but discussion forums had an obvious impact on student achievement and attitude in distance learning/ educational technology course.",['Zuhrieh Shana'],75,"['68509150-d610-4c1e-b80f-802ad9d586ed', 'f450d607-cdd0-4be2-b651-aa8a11386c6a']",Learning with Technology: Using Discussion Forums to Augment a Traditional-Style Class,Educational Technology & Society,2009,4ac71f0c-43fb-4a6f-99ce-97b3178048f3
"Motivation: The widespread coiled-coil structural motif in proteins is known to mediate a variety of biological interactions. Recognizing a coiled-coil containing sequence and locating its coiled-coil domains are key steps towards the determination of the protein structure and function. Different tools are available for predicting coiled-coil domains in protein sequences, including those based on positionspecific score matrices and machine learning methods. Results: In this article, we introduce a hidden Markov model (CCHMM_PROF) that exploits the information contained in multiple sequence alignments (profiles) to predict coiled-coil regions. The new method discriminates coiled-coil sequences with an accuracy of 97% and achieves a true positive rate of 79% with only 1% of false positives. Furthermore, when predicting the location of coiled-coil segments in protein sequences, the method reaches an accuracy of 80% at the residue level and a best per-segment and perprotein efficiency of 81% and 80%, respectively. The results indicate that CCHMM_PROF outperforms all the existing tools and can be adopted for large-scale genome annotation. Availability: The dataset is available at http://www.biocomp.unibo .it/∼lisa/coiled-coils. The predictor is freely available at http://gpcr .biocomp.unibo.it/cgi/predictors/cchmmprof/pred_cchmmprof.cgi. Contact: piero@biocomp.unibo.it","['Lisa Bartoli', 'Piero Fariselli', 'Anders Krogh', 'Rita Casadio']",30,"['2eb5ec7e-4329-44e4-b4a0-0e4f3680d215', '3a812f58-2e36-44fc-b793-d4c2ed8af6e2', '4257348d-ea4e-4c45-93d9-9b1bdd3dcfc4', '49d0e6a2-7d7b-4878-8399-8296440a538e', '594e1c78-0c50-4ab2-a0d1-08b5c5d7e168', '71328856-8e3a-4259-8fc3-270b8c75dd2a', 'da7c74a8-40b7-435a-8016-5d000676be2f', 'dde6f971-4c97-4ae3-80b2-f5249f81d4c5', 'ef9e0d14-a3c5-4fe4-ae4b-b986a93c2895']",CCHMM_PROF: a HMM-based Coiled-Coil Predictor with Evolutionary Information,Bioinformatics,2009,4ac72a2f-3572-40cc-9495-7890d95ccea2
"Simulation experiments show that the token ring protocol gave a lower average message delay at low transfer rates, but the token bus protocol gave a better overall performance for applications where only average delay is of interest. On the other hand, in hard real-time systems, the criterion of importance is not the average message delay, but the maximum message delay and the ability to meet deadlines. Slotted ring in this case is a much better protocol than the others because of its low maximum message delay and more predictable message delay. Because of this, and because the average performance of the slotted ring remains good as the size or the transfer rate of the network increases, the slotted ring protocol is preferred over the token ring and token bus protocols for hard real-time systems. >","['Joseph Kee-Yin Ng', 'Jane W. S. Liu']",50,"['443432fd-3cdb-4357-9c87-b948dd40beb7', 'd0593f1a-724d-4a41-845f-d4362bb3f196']",Performance of local area network protocols for hard real-time applications,international conference on distributed computing systems,1991,4ac74a86-3c8a-436e-9a34-b056f168d088
"A finite subset of Z/sup 2/ is called a structuring element. The paper presents a new and simple algorithm for decomposing a convex structuring element as a sequence of Minkowski additions of a minimum number of subsets of the elementary square (i.e., the 3/spl times/3 square centered at the origin). Besides its simplicity, the advantage of this algorithm over some known algorithms is that it generates a sequence of non necessarily convex subsets, which means subsets with smaller cardinality and consequently faster implementation of the corresponding dilations and erosions. The algorithm is based on algebraic and geometrical properties of Minkowski additions. Theoretical analysis of correctness and computational time complexity are also presented.","['Ronaldo Fumio Hashimoto', 'Junior Barrera']",1,"['0651dfc5-3d65-4152-9c5b-7fbf3af64f6c', '102ec9b5-182b-4e76-aed3-8b72b9696c3b', '336de2a4-9390-404d-b91b-41b5b6370063', '34380515-7005-4a8a-af08-481f3a95924f', '3879350b-2a75-4ffa-adfe-941cad99d4b9', '400b6cd0-3033-4cc5-a6ad-ca5f5251e39e', '46fc0919-26df-40e4-8d46-6d37a074a783', '4941a7a9-c251-4040-9db4-d14eeb42b567', '49b4a75f-5c41-4704-bda6-06843f553c52', '4e631ef0-fad7-4dc0-901a-29af722c2169', '6b8fb510-b826-42d3-ae4e-b92f901efc76', '975bc2e6-c8ab-41ae-9d75-22f3ce69b482', 'bf665c72-4569-437b-bccf-1a8ee0c1d3c4', 'c6cbdd69-ef4c-418a-9a37-2799df4d7707', 'dd6807a2-a5de-4e3b-a18f-5e5992c56ff7', 'fc97f1e5-29da-4909-956d-0bd24754fcdc']",A simple algorithm for decomposing convex structuring elements,,1999,4ac75363-8577-49e7-80f8-971fa01532ba
"A new design methodology for a pattern generator is proposed, formulated in the context of on-chip BIST. The design methodology is circuit-specific and uses synthesis techniques to design BIST generators. The pattern generator consists of two components: a pseudorandom pattern generator (like an LFSR or, preferably, a GLFSR) and a combinational logic to map the outputs of the pseudorandom pattern generator. This combinational logic is synthesized to produce a given set of target patterns by mapping the outputs of the pseudorandom pattern generator. It is shown that, for a particular CUT, an area-efficient combinational logic block can be designed/synthesized to achieve 100 (or almost 100) percent single stuck-at fault coverage using a small number of test the This method is significantly different from weighted pattern generation and can guarantee testing of all hard-to-detect faults without expensive test point insertion. Experimental results on common benchmark netlists demonstrate that the fault coverage of the proposed pattern generator is significantly higher compared to conventional pattern generation techniques. The design technique for the logic mapper is unique and can be used effectively to improve existing pattern generators for combinational logic and scan-based BIST structures.","['Mitrajit Chatterjee', 'Dhiraj K. Pradhan']",67,"['00590479-1f94-490a-9a62-f23cc2fee872', '0398ac8f-c36a-418b-8e85-01525180f8b7', '059b4df8-21a2-422b-9bc3-082b377b94c2', '17633c2c-adf2-4228-a224-d385626a1a47', '1831d047-906e-4518-b19c-ff5fcebd8c1e', '1f21b005-dec0-43f8-94a7-4f8b83184711', '2dd2f402-2055-41bd-bdd8-1c2d04620205', '309a3dd8-bf48-4524-97d0-230433ad0730', '32b1a367-7580-425c-af44-88f0df262288', '35f7b69e-e0c8-4226-bc34-5b602ba099cf', '44bfcc1d-c031-485a-be05-7ab7630eb3b4', '459a1123-1b38-45b1-bb5b-f0fb9fdff4af', '47f675e0-5b3e-460e-b6ee-0e093cd88625', '4f493115-d6a7-45ab-8042-f85c59131df0', '4f66849a-1a2d-48b4-b98e-a23dccb6a267', '5330180a-93ee-4c7b-bc7a-e26c843b25c7', '69f7867e-31ef-4421-a282-5d79746f2d38', '6b62cace-4c3e-44ba-bb70-da6d89965c2b', '7c065dc9-0c2b-4188-ac79-39934985cfd1', '7dd00e8a-ea31-4070-9a84-aeab69abd55d', '8e74e965-4bfd-4913-a00f-9983169be937', '8e827001-df52-4d82-b93f-74eefbb202cd', '990d7828-5277-4137-a8bd-8b99cc9a0dc9', '99f04be6-fc6e-4502-bc2f-caeecf61eab5', 'a993265c-bb96-42ea-8fba-385e8070c583', 'ae91818c-dff3-4d8b-8280-7c9f6b61cb29', 'bbf14e73-c097-480e-bc29-ed237287747c', 'cc474d21-1496-40d8-aa2c-8b97721ebb67', 'd0399d65-0eef-43f2-a1d5-6581312bf5a5', 'd5c8cee7-2375-40a1-a0d1-9142edc89838', 'dabc62b5-bb3a-40f4-aa42-8780a25c4695', 'e16c9592-f699-442a-8a51-6e9c02107ec3', 'e403020b-ed59-45a4-be0d-3414c718eeaf', 'eb062f85-1286-400e-b22f-3b3928d592cd', 'ffa863f8-8717-4c6c-9444-0c11a3f17cb4']",A BIST pattern generator design for near-perfect fault coverage,IEEE Transactions on Computers,2003,4ac76682-0c2a-4202-8308-62346276deb2
"The model of the cardiac tissue as a conductive system with two interacting pacemakers and a refractory time is proposed. In the parametric space of the model the phase locking areas are investigated in detail. The obtained results make possible to predict the behavior of excitable systems with two pacemakers, depending on the type and intensity of their interaction and the initial phase. Comparison of the described phenomena with intrinsic pathologies of cardiac rhythms is given.","['Alexander Loskutov', 'Sergei Rybalko', 'Ekaterina Zhuchkova']",15,"['2a4fe8d0-029d-44c3-95a1-581f62e9ef42', '7319cb4e-73c3-4e28-955a-36823c528ac3']",MODEL OF CARDIAC TISSUE AS A CONDUCTIVE SYSTEM WITH INTERACTING PACEMAKERS AND REFRACTORY TIME,International Journal of Bifurcation and Chaos,2004,4ac7700e-8e23-44d2-87aa-bbdd23ad41c7
Abstract#R##N##R##N#The Systolic Pixel or Spixel is a novel architecture for an intelligent pixel-based graphics database for geometric-solid models. An algorithm is described which performs visible surface calculations for any complexity of coloured 3-dimensional (3-D) surface and which structures geometric-solid model data in a natural way. The algorithm/architecture of the spixel features a simple set of priority rules acting upon data in nearest neighbour locations and a simple set of movement rules of data to nearest neighbour locations. The spixel is constructed out of identical functional units. These features are attractive for an implementation of the algorithm in Very Large Scale Integration (VLSI).,['Pam Mills'],50,[],The Systolic Pixel: A Visible Surface Algorithm for VLSI.,Computer Graphics Forum,1984,4ac7b3ec-45fb-44f9-978d-1746e7682736
We study the use of rich syntax-based statistical models for generating grammatical case for the purpose of machine translation from a language which does not indicate case explicitly (English) to a language with a rich system of surface case markers (Japanese). We propose an extension of n-best re-ranking as a method of integrating such models into a statistical MT system and show that this method substantially outperforms standard n-best re-ranking. Our best performing model achieves a statistically significant improvement over the baseline MT system according to the BLEU metric. Human evaluation also confirms the results.,"['Kristina Toutanova', 'Hisami Suzuki']",50,"['1268112c-a3a5-411d-9469-c9937aed533e', '143db266-038d-4496-882d-bc1abbd6c57c', '22616579-f9d8-4f34-956a-41761f11977c', '89dc7280-10d5-4bdb-b631-011ca3f08ebf', '91877231-41b1-4ef3-bcb4-bd36067aaa85', 'bd232ad9-8429-41d3-b83b-71fd8f6c8371', 'c2437e36-d765-4cc5-be03-315b6e35416c', 'ce4797cd-6c48-41a1-9f29-9962b0262703', 'de700a30-0634-4ff3-ae48-c0b5239420e3', 'e0c0f15e-65cc-4b54-a637-a2ef31426483', 'e9da7e93-7896-424e-91de-e2a630c081b7']",Generating Case Markers in Machine Translation,north american chapter of the association for computational linguistics,2007,4ac7b418-4f7c-4f99-8a47-2799a60896ef
"The performance of a soft-limiter metric and a quantized soft-limiter metric is evaluated for coded DS/DPSK (direct sequence/differential phase shift keying) in the presence of worst case pulse jamming and background noise. The metrics are easy to implement and do not require jammer state information. Instead they rely on the use of receiver thresholds, which must be adjusted according to the code rate and the received bit-energy-to-background-noise ratio. The performance of the metrics is evaluated by using the cutoff rate criterion and a number of specific convolutional and block codes. It is shown that the metrics can offer a significant soft-decision decoding gain and can perform to within 0.5-1.5 dB of the maximum-likelihood soft-decision metric with perfect jammer state information. >",['Gordon L. Stüber'],7,"['06d00b22-7733-463e-b4bb-84b2f5bec7be', '0875ac03-3529-4ed1-93da-5b2ec29ca344', 'fcc6d21b-5963-42ad-b76d-03b17b8e0998']",Soft-limiter receivers for coded DS/DPSK systems,IEEE Transactions on Communications,1990,4ac7df7f-415b-4323-b0f9-fb7f07b9de12
"Because Function Point Analysis (FPA) has now been in use for a decade, and in spite of its increasing popularity has met with some recent criticisms, it is time to review how appropriate it still is for today's technologies. A critical review of the FPA approach examines in particular the pioneering and continuing work of Albrecht and more recent work by Symons. Technological dependencies in FPA-type metrics are identified and a general model for deriving a new FPA-type metric for a new software technology is given. A model for the calibration of FPA-type metrics for new technologies in terms of a reference technology is also presented. Such calibration is essential for comparative productivity studies. The role of module estimation in exposing parts of the 'anatomy' of the FPA approach is investigated. The derivation and calibration models are applied to a significant case study in which a new FPA-type metric suited to a particular software development technology is derived, calibrated and compared with other published versions of FPA metrics.","['June M. Verner', 'Graham Tate', 'Barry Jackson', 'Richard G. Hayward']",50,"['2f4728b8-6c9f-407e-a1f7-add52029f953', '3bed4865-4023-47e8-a24a-8c361d62ad84', '70f656f3-d9b8-4dce-975a-a8fda340cc9e', '83d54f51-723b-4ab2-9ef7-b844797dacc1']",Technology Dependence In Function Point Analysis: A Case Study And Critical Review,international conference on software engineering,1989,4ac7eab7-4c83-4800-99d1-d30c3f97b958
"The experimental results in this paper demonstrate that a simple pruning/retraining method effectively improves the generalization performance of recurrent neural networks trained to recognize regular languages. The technique also permits the extraction of symbolic knowledge in the form of deterministic finite-state automata (DFA) which are more consistent with the rules to be learned. Weight decay has also been shown to improve a network's generalization performance. Simulations with two small DFA (/spl les/10 states) and a large finite-memory machine (64 states) demonstrate that the performance improvement due to pruning/retraining is generally superior to the improvement due to training with weight decay. In addition, there is no need to guess a 'good' decay rate. >","['Christian W. Omlin', 'C.L. Giles']",50,"['249ac73a-554f-4024-830b-4e961b3d9636', '29042545-4ddf-4bf9-ae8b-d65876c9eb41', '3fff50e3-6a11-415b-8c8d-6f2c651f658d', '56a4dd31-ea80-4c8b-946f-965e68c90639', '6372b6b3-4826-4338-b4c3-1cd5bd9fc8b7', '66e71d2a-01e3-4952-9c05-62675f2e8f6b', '681d6e09-1a19-413c-92ed-c70704d448cc', 'ccce4f1e-bf2a-415b-96e0-279ba9d87ba2']",Pruning recurrent neural networks for improved generalization performance,,1994,4ac7efb6-0cdb-4668-8868-317d9143e54c
"In this paper, we present a novel technique for the design of FIR and IIR digital filters. The design approach begins with the specification of a discrete set of arbitrary magnitude and phase characteristics which describe a desired filter response. These frequency domain characteristics are used to create an ideal ""pseudo-filter"" whose impulse response is unknown and possibly non-causal, but whose input/output characteristics can be determined for a finite sum of sinusoids. Time-domain techniques common to adaptive system identification are then used to identify a realizable FIR or IIR digital filter which best matches the pseudo-filter. The advantages of this method include the ability to specify response at arbitrarily-spaced frequencies, to use arbitrary cost weighting, and to apply (possibly non-linear) constraints to the range of the filter coefficients.","['Bernard Widrow', 'Paul F. Titchener', 'Richard P. Gooch']",12,"['01fb8373-7052-4d67-8747-2abc1110b514', '03b13797-fc14-4e1f-acdb-f080372264c2']",Adaptive design of digital filters,"international conference on acoustics, speech, and signal processing",1981,4ac7f580-e2ec-49a1-8ca5-98ece931126b
"This paper presents the result of the experimental examination by ""passing each other"" and ""positional prediction"" in simulated interactive situation between people and mobile robot. We have developed four prototype robots based on four proposed methods for preliminarily announcing and indicating to people the speed and direction of upcoming movement of mobile robot moving on two-dimensional plane. We observed significant difference between when there was a preliminary-announcement and indication (PAI) function and when there was not even in each experiment. Therefore the effect of preliminary-announcement and indication of upcoming operation was declared. In addition the feature and effective usage of each type of preliminary-announcement and indication method were clarified. That is, the method of announcing state of operation just after the present is effective when a person has to judge to which direction he should get on immediately due to the feature that simple information can be quickly transmitted. The method of indicating operations from the present to some future time continuously is effective when a person wants to avoid contact or collision surely and correctly owing to the feature that complicated information can be accurately transmitted. We would like to verify the result in various conditions such as the case that traffic lines are obliquely crossed.",['Takafumi Matsumaru'],1,"['02e226d3-d3d1-49f9-86f4-711a46d374a5', '21db47af-a207-4a76-98d3-93a9ab0b1c10', '49c43d4e-3d7a-47c2-9470-64dfd55979a6', '6425bf2a-0fa9-4694-9fea-048ce69ae892', '89a73cb9-04e9-4ac3-adcb-d8590f87d0ad', '904d5e2d-0f71-4cd6-ac28-1084652c1fae', '9746500d-d4c8-46c4-8337-7bba5f199afa', 'a37f12ce-11c1-4ba5-b509-95cec816f7c6']",Experimental Examination in simulated interactive situation between people and mobile robot with preliminary-announcement and indication function of upcoming operation,international conference on robotics and automation,2008,4ac80dc7-3b0b-4afa-afe4-fce6072ffc47
"In recent years, diversity techniques have evolved into highly attractive technology for wireless communications in different forms. For instance, the channel fluctuations of the users in a network are exploited as multiuser diversity by scheduling the user with the best signal-to-noise ratio (SNR). When fading is slow, beamforming at a multiple antenna transmitter is used to induce artificial channel fluctuations to ensure multiuser diversity in the network. Such a beamforming scheme is called opportunistic beamforming since the transmitter uses random beamforming to artificially induce opportunism in the network [1]. Opportunism requires a large number of users in the system in order to reach the performance of the true beamforming that uses perfect channel state information (CSI). In this paper we investigate the benefit of having partial CSI at an opportunistic transmitter. In the investigation, we focus on the maximum normalized SNR scheduling where user's feedback consists of SNR relative to its channel gain. We show that opportunism can be beneficially used to increase the average throughput of the system. Simulations support the analytical average throughput results obtained as the amount of CSI and the number of users vary.","['Ozgur Ozdemir', 'Murat Torlak']",6,"['23470605-f05f-40a3-81f0-5840e8225dab', '428771c4-4ff7-4564-8817-4bdc866f8ea9', '46351753-24cb-4ebd-a2eb-db6a46dcdca0', '57b89745-790c-4c68-b723-9c28f1babe07', '7bf3ba35-30e2-46e7-8327-f0bf8318a8b3', 'cb803f66-65de-4468-b903-1c68fd703131', 'dd3151e6-9756-4260-bc37-3507976fa578', 'e42e5794-980e-44b7-b4c9-15dbb812ad8c', 'e978280f-0a98-4085-a9b1-c51d9ee42388', 'f1f98a8e-776b-4598-ba23-6bfb37ed2636']",Opportunistic Beamforming over Rayleigh Channels with Partial Side Information,IEEE Transactions on Wireless Communications,2008,4ac81113-2e89-4dba-ad8e-303e7c13ebfb
"System-level low power scheduling techniques are required for optimizing the performance and power of embedded applications that are mapped to multiprocessor System-on-Chip (SoC) architectures. In this paper, we present an integer linear programming (ILP) formulation that combines loop transformations (pipelining and unrolling) and system-level low power optimization techniques (dynamic voltage scaling (DVS) and power management (DPM)) to minimize the power consumption, while satisfying the period and deadline constraints of the application. We also present three modifications that relax one or more constraints in the optimal formulation in order to obtain smaller run times. We present experimental analysis by applying the formulations on an MPEG decoder algorithm. All results are compared against two existing techniques. Our formulations result in large system-level power reductions (max: 48.2%, min: 15.92%, avg: 31.9%). The modified ILP formulations result in exponential decrease in runtimes, and a corresponding linear degradation in the result quality.","['Krishnan Srinivasan', 'Karam S. Chatha']",50,"['1ef4b4be-01a7-4430-88bc-e835a267a6a7', '2d118514-0989-419c-af0a-cba816264934', '52891fa1-80f9-4a20-8434-91a32a7ecf44', '7afe8c10-35f8-4acc-8c67-12e8239c4b48', '8fa1fdc9-854b-4ab9-96c7-1757d9df1a2d', 'ab002f95-7f6e-4f89-b38a-6c9c1983bd51', 'bf6e4a57-9025-455a-9d91-fccc37d0ac23', 'de834a9c-d038-4550-b093-e764affe2501', 'f063fadd-eb09-46a8-b0a9-66441784852b']",An ILP formulation for system level throughput and power optimization in multiprocessor SoC architectures,international conference on vlsi design,2004,4ac82906-287d-4567-ba9a-307e867e1cd2
